,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
222,6,19,60,10,250,2643,130,4998,51,0
223,6,19,60,10,320,2634,139,4991,50,0
224,6,19,60,15,20,1275,41,4685,40,0
225,6,19,60,15,30,1854,66,4876,42,0
226,6,19,60,15,40,2029,73,4919,38,0
227,6,19,60,15,80,2183,100,4941,34,0
228,6,19,60,15,160,2213,106,4935,40,0
229,6,19,60,15,250,2215,108,4935,38,0
230,6,19,60,15,320,2214,108,4936,36,0
231,6,19,100,5,20,2994,141,5139,100,0
232,6,19,100,5,30,3137,155,5145,92,0
233,6,19,100,5,40,3188,167,5132,83,0
234,6,19,100,5,80,3234,175,5079,71,0
235,6,19,100,5,160,3217,186,5055,81,0
236,6,19,100,5,250,3225,180,5052,79,0
237,6,19,100,5,320,3220,179,5054,78,0
238,6,19,100,10,20,2117,74,4974,62,0
239,6,19,100,10,30,2447,103,5023,62,0
240,6,19,100,10,40,2575,119,5034,54,0
241,6,19,100,10,80,2679,136,5006,50,0
242,6,19,100,10,160,2692,142,4996,52,0
243,6,19,100,10,250,2698,130,4994,52,0
244,6,19,100,10,320,2698,134,4995,52,0
245,6,19,100,15,20,1370,38,4740,43,0
246,6,19,100,15,30,1912,69,4893,50,0
247,6,19,100,15,40,2089,74,4936,41,0
248,6,19,100,15,80,2240,109,4945,38,0
249,6,19,100,15,160,2255,115,4934,36,0
250,6,19,100,15,250,2264,117,4932,36,0
251,6,19,100,15,320,2268,107,4934,35,0
252,6,23,15,5,20,3496,296,5477,164,0
253,6,23,15,5,30,3557,310,5472,167,0
254,6,23,15,5,40,3576,307,5442,158,0
255,6,23,15,5,80,3558,317,5383,152,0
256,6,23,15,5,160,3490,301,5317,142,0
257,6,23,15,5,250,3476,306,5295,141,0
258,6,23,15,5,320,3476,307,5295,144,0
259,6,23,15,10,20,2571,192,5219,113,0
260,6,23,15,10,30,2733,182,5230,112,0
261,6,23,15,10,40,2807,211,5222,117,0
262,6,23,15,10,80,2880,224,5213,113,0
263,6,23,15,10,160,2866,226,5172,105,0
264,6,23,15,10,250,2860,227,5155,110,0
265,6,23,15,10,320,2864,230,5154,109,0
266,6,23,15,15,20,1856,117,4982,78,0
267,6,23,15,15,30,2096,138,5060,88,0
268,6,23,15,15,40,2214,138,5068,82,0
269,6,23,15,15,80,2352,163,5079,88,0
270,6,23,15,15,160,2361,169,5046,79,0
271,6,23,15,15,250,2355,174,5039,84,0
272,6,23,15,15,320,2357,173,5041,83,0
273,6,23,30,5,20,2254,86,4995,51,0
274,6,23,30,5,30,2410,85,4995,51,0
275,6,23,30,5,40,2502,74,4992,44,0
276,6,23,30,5,80,2651,102,4972,52,0
277,6,23,30,5,160,2675,117,4958,51,0
278,6,23,30,5,250,2672,121,4955,47,0
279,6,23,30,5,320,2661,121,4951,47,0
280,6,23,30,10,20,1330,47,4714,33,0
281,6,23,30,10,30,1688,61,4838,36,0
282,6,23,30,10,40,1864,61,4868,35,0
283,6,23,30,10,80,2144,86,4903,39,0
284,6,23,30,10,160,2161,89,4901,40,0
285,6,23,30,10,250,2164,97,4899,36,0
286,6,23,30,10,320,2164,97,4900,40,0
287,6,23,30,15,20,654,20,4158,31,0
288,6,23,30,15,30,1095,29,4608,28,0
289,6,23,30,15,40,1337,40,4716,34,0
290,6,23,30,15,80,1712,60,4833,38,0
291,6,23,30,15,160,1743,69,4831,33,0
292,6,23,30,15,250,1738,69,4830,32,0
293,6,23,30,15,320,1736,72,4835,36,0
294,6,23,60,5,20,2624,109,5081,63,0
295,6,23,60,5,30,2752,113,5076,65,0
296,6,23,60,5,40,2829,113,5066,63,0
297,6,23,60,5,80,2934,133,5032,55,0
298,6,23,60,5,160,2935,125,5000,53,0
299,6,23,60,5,250,2951,147,4997,53,0
300,6,23,60,5,320,2950,137,4997,47,0
301,6,23,60,10,20,1690,64,4862,40,0
302,6,23,60,10,30,2003,76,4934,45,0
303,6,23,60,10,40,2155,76,4951,47,0
304,6,23,60,10,80,2362,96,4969,47,0
305,6,23,60,10,160,2395,114,4946,39,0
306,6,23,60,10,250,2400,104,4945,38,0
307,6,23,60,10,320,2393,108,4948,37,0
308,6,23,60,15,20,908,34,4483,35,0
309,6,23,60,15,30,1384,49,4757,38,0
310,6,23,60,15,40,1588,59,4811,35,0
311,6,23,60,15,80,1889,72,4893,35,0
312,6,23,60,15,160,1938,81,4892,32,0
313,6,23,60,15,250,1928,91,4889,29,0
314,6,23,60,15,320,1927,82,4892,31,0
315,6,23,100,5,20,2706,114,5103,78,0
316,6,23,100,5,30,2829,126,5096,77,0
317,6,23,100,5,40,2899,124,5084,75,0
318,6,23,100,5,80,2990,145,5044,68,0
319,6,23,100,5,160,2996,136,5009,62,0
320,6,23,100,5,250,2992,152,5009,63,0
321,6,23,100,5,320,2989,153,5010,64,0
322,6,23,100,10,20,1792,63,4888,45,0
323,6,23,100,10,30,2082,71,4955,48,0
324,6,23,100,10,40,2244,81,4965,49,0
325,6,23,100,10,80,2430,116,4973,46,0
326,6,23,100,10,160,2450,121,4951,40,0
327,6,23,100,10,250,2460,123,4953,39,0
328,6,23,100,10,320,2456,124,4949,37,0
