,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
249,6,19,100,15,160,2151,1,4906,0,282
250,6,19,100,15,250,2156,1,4902,0,290
251,6,19,100,15,320,2167,1,4905,0,271
252,6,23,15,5,20,3240,2,5348,8,835
253,6,23,15,5,30,3281,2,5339,6,878
254,6,23,15,5,40,3300,1,5317,6,859
255,6,23,15,5,80,3281,2,5264,6,857
256,6,23,15,5,160,3227,2,5206,3,812
257,6,23,15,5,250,3208,2,5187,3,818
258,6,23,15,5,320,3208,2,5185,3,824
259,6,23,15,10,20,2408,1,5134,3,549
260,6,23,15,10,30,2574,1,5147,3,532
261,6,23,15,10,40,2624,1,5133,3,596
262,6,23,15,10,80,2689,1,5131,4,605
263,6,23,15,10,160,2672,1,5095,2,599
264,6,23,15,10,250,2663,1,5075,1,612
265,6,23,15,10,320,2665,1,5075,1,615
266,6,23,15,15,20,1761,1,4922,3,346
267,6,23,15,15,30,1976,1,4998,3,404
268,6,23,15,15,40,2094,1,5008,3,396
269,6,23,15,15,80,2214,1,5019,3,445
270,6,23,15,15,160,2216,1,4993,2,443
271,6,23,15,15,250,2206,1,4983,2,460
272,6,23,15,15,320,2209,1,4987,1,456
273,6,23,30,5,20,2182,1,4959,1,243
274,6,23,30,5,30,2334,1,4959,1,246
275,6,23,30,5,40,2434,1,4959,1,217
276,6,23,30,5,80,2558,1,4932,1,285
277,6,23,30,5,160,2571,1,4920,1,308
278,6,23,30,5,250,2563,1,4919,0,312
279,6,23,30,5,320,2552,1,4914,0,313
280,6,23,30,10,20,1291,1,4689,0,143
281,6,23,30,10,30,1633,1,4810,0,179
282,6,23,30,10,40,1809,1,4841,0,177
283,6,23,30,10,80,2067,1,4874,0,230
284,6,23,30,10,160,2081,1,4874,1,234
285,6,23,30,10,250,2076,1,4872,0,247
286,6,23,30,10,320,2076,1,4871,0,253
287,6,23,30,15,20,638,1,4136,0,88
288,6,23,30,15,30,1070,1,4588,0,101
289,6,23,30,15,40,1301,1,4695,0,130
290,6,23,30,15,80,1658,1,4807,0,177
291,6,23,30,15,160,1683,1,4808,0,184
292,6,23,30,15,250,1678,1,4807,0,183
293,6,23,30,15,320,1673,1,4810,0,195
294,6,23,60,5,20,2532,1,5035,4,305
295,6,23,60,5,30,2651,1,5029,3,322
296,6,23,60,5,40,2726,1,5021,3,320
297,6,23,60,5,80,2816,1,4989,0,348
298,6,23,60,5,160,2821,1,4959,1,331
299,6,23,60,5,250,2819,1,4956,1,371
300,6,23,60,5,320,2825,1,4958,1,346
301,6,23,60,10,20,1636,1,4835,3,181
302,6,23,60,10,30,1934,1,4906,2,215
303,6,23,60,10,40,2088,1,4922,2,216
304,6,23,60,10,80,2276,1,4934,0,263
305,6,23,60,10,160,2292,1,4916,1,284
306,6,23,60,10,250,2304,1,4916,1,265
307,6,23,60,10,320,2293,1,4918,1,273
308,6,23,60,15,20,883,1,4462,1,113
309,6,23,60,15,30,1342,1,4732,1,152
310,6,23,60,15,40,1538,1,4785,0,169
311,6,23,60,15,80,1826,1,4866,0,196
312,6,23,60,15,160,1866,1,4868,1,207
313,6,23,60,15,250,1848,1,4866,1,221
314,6,23,60,15,320,1853,1,4867,1,210
315,6,23,100,5,20,2606,1,5052,4,338
316,6,23,100,5,30,2720,1,5043,3,361
317,6,23,100,5,40,2789,1,5031,2,359
318,6,23,100,5,80,2861,1,4995,1,389
319,6,23,100,5,160,2873,1,4964,0,365
320,6,23,100,5,250,2856,1,4961,1,397
